"Contract","Title","Company","PDF URL","Country","Concession/License name","Signature date","Language","Disclosure mode","Host gov contract"
"Ghana Deepwater-Tano dd20060815 Joint-Operating-Agreement","Joint-Operating-Agreement","Tullow Ghana, Sabre Oil&Gas, Kosmos Ghana","http://downloads.openoil.net/contracts/gh/gh_Deepwater-Tano_dd20060815_Joint-Operating-Agreement_Tullow_Sabre_Kosmos.pdf","GH","","2006-08-15T00:00:00","English","corporate","no"
"Ghana Deepwater-Tano dd20060818 Assignment-Deed","Assignment-Deed","Anadarko WCTP, Kosmos Energy","http://downloads.openoil.net/contracts/gh/gh_Deepwater-Tano_dd20060818_Assignment-Deed_Anadarko_Kosmos.pdf","GH","","2006-08-18T00:00:00","English","corporate","yes"
"Ghana Jubilee-Field-Unit dd20090713 Unitization-Operating-Agreement","Unitization-Operating-Agreement","Tullow Ghana Limited, Kosmos Energy Ghana, Anadarko WCTP, Sabre Oil & Gas, EO Group","http://downloads.openoil.net/contracts/gh/gh_Jubilee-Field-Unit_dd20090713_Unitization-Operating-Agreement_Tullow_Kosmos_Anadarko.pdf","GH","","2009-07-13T00:00:00","English","corporate","yes"
"Ghana Shallow-water-Tano dd20060000 Petro-Agree","Petro-Agree","Tullow Ghana Limited, Sabre Oil and Gas Limited","http://downloads.openoil.net/contracts/gh/gh_Shallow-water-Tano_dd20060000_Petro-Agree_Tullow_Sabre.pdf","GH","","2006-01-01T00:00:00","English","","yes"
"Ghana West-Cape-Block dd20040000 Joint-Operating-Agreement","Joint-Operating-Agreement","Kosmos Energy Ghana, E. O. Group","http://downloads.openoil.net/contracts/gh/gh_West-Cape-Block_dd20040000_Joint-Operating-Agreement_Kosmos_EO-Group.pdf","GH","","2004-01-01T00:00:00","English","corporate","no"
"Ghana West-Cape-Block dd20040722 Petroleum-Agreement","Petroleum-Agreement","Kosmos Energy Ghana, E. O. Group","http://downloads.openoil.net/contracts/gh/gh_West-Cape-Block_dd20040722_Petroleum-Agreement_Kosmos_EO-Group.pdf","GH","","2004-07-22T00:00:00","English","corporate","yes"
"Greece Ioannina dd20140514 Lease-Agreement","Lease-Agreement","Energean Oil and Gas SA, Petra Petroleum Inc","http://downloads.openoil.net/contracts/gr/gr_Ioannina_dd20140514_Lease-Agreement_Energean_Petra.pdf","GR","","2014-05-14T00:00:00","English, Greek","government","yes"
"Greece Katakolon dd20140514 Lease-Agreement","Lease-Agreement","Energean Oil and Gas SA, Trajan Oil and Gas Limited","http://downloads.openoil.net/contracts/gr/gr_Katakolon_dd20140514_Lease-Agreement_Energean_Trajan.pdf","GR","","2014-05-14T00:00:00","English, Greek","government","yes"
"Greece Patraikos-West dd20140514 Lease-Agreement","Lease-Agreement","Hellenic Petroleum SA, Edison International SPA, Petroceltic Resources plc","http://downloads.openoil.net/contracts/gr/gr_Patraikos-West_dd20140514_Lease-Agreement_Hellenic_Edison_Petroceltic.pdf","GR","","2014-05-14T00:00:00","English, Greek","government","yes"
"Guatemala LA-9-92 LA-9-93 L-10-92 dd19930701 Exploration-Contract","Exploration-Contract","Pentagon Petroleum Inc","http://downloads.openoil.net/contracts%2Fgt%2Fgt_LA-9-92_LA-9-93_L-10-92_dd19930701_Exploration-Contract_Pentagon.pdf","GT","","1993-07-01T00:00:00","English","corporate","yes"
"Guinea dd20020000 Royalty-PSC","Royalty-PSC","USOil Corporation","http://downloads.openoil.net/contracts/gn/gn__dd20020000_Royalty-PSC_USOil-Corp.pdf","GN","","2002-01-01T00:00:00","English","corporate","yes"
"Guinea dd20060922 PSC","PSC","SCS Corporation","http://downloads.openoil.net/contracts%2Fgn%2Fgn__dd20060922_PSC_SCS-Corporation.pdf","GN","","2006-09-22T00:00:00","English","corporate","yes"
"Guinea dd20091204 Sale-Purchase-Agree","Sale-Purchase-Agree","Hyperdynamics Corporation, Dana Petroleum (E&P) Limited, SCS Corporation","http://downloads.openoil.net/contracts/gn/gn__dd20091204_Sale-Purchase-Agree_Hyperdynamics_Dana_SCS.pdf","GN","","2009-12-04T00:00:00","English","corporate","no"
"Guinea dd20100128 Operating-Agreement","Operating-Agreement","SCS Corporation, Dana Petroleum (E&P) Limited","http://downloads.openoil.net/contracts/gn/gn__dd20100128_Operating-Agreement_SCS_Dana.pdf","GN","","2010-01-28T00:00:00","English","corporate","no"
"Guinea dd20100326 PSC-Amendment","PSC-Amendment","SCS Corporation","http://downloads.openoil.net/contracts%2Fgn%2Fgn__dd20100326_PSC-Amendment_SCS-Corporation.pdf","GN","","2010-03-26T00:00:00","English","corporate","yes"
"Guinea dd20121120 Purchase-Sale-Agree","Purchase-Sale-Agree","SCS Corporation Ltd, Tullow Guinea Ltd","http://downloads.openoil.net/contracts/gn/gn__dd20121120_Purchase-Sale-Agree_SCS_Tullow.pdf","GN","","2012-11-20T00:00:00","English","corporate","no"
